scan,XBIC/V,V2F,stanford,lockin,sample
261,V,200000,,10000,NBL3_3
262,V,200000,,10000,
263,V,200000,,10000,
264,C,200000,5000,500,
265,C,200000,5000,500,
266,C,200000,5000,500,
472,V,100000,,100000,
475,C,100000,200,20,
491,C,100000,200,20,
422,C,200000,5000,500,NBL32
423,C,200000,5000,500,
424,C,200000,5000,500,
550,C,200000,50000,100,
538,C,200000,50000,100,
575,C,200000,50000,100,
419,V,200000,,1000,
420,V,200000,,1000,
421,V,200000,,1000,
551,V,200000,,10000,
385,C,200000,5000,10000,TS58A
386,C,200000,5000,10000,
387,C,200000,5000,10000,
439,C,100000,200,20,
427,C,100000,200,20,
408,C,100000,200,20,
382,V,200000,,1000,
383,V,200000,,1000,
384,V,200000,,1000,
440,,100000,,100000,
