scan,XBIC/V,V2F,stanford,lockin,sample,electrical settings saved as 20190629xbiv315,,,,
321,V,200000,,100,FS3_3,lockin,100,8,100.2,500mV input range
322,V,200000,,100,,direct,10,8,466700,2.5V offset
323,C,200000,10000,100,,electrical settings saved as 20190629xbic317,,,,
324,C,200000,10000,100,,stanford,10uA/V,,,
325,V,200000,,100,,lockin,100,8,100.2,1V input range
326,V,200000,,100,,direct,10,8,466700,2.5V offset
327,C,200000,10000,100,,,,,,
328,C,200000,10000,100,,,,,,
329,C,200000,10000,100,,,,,,
330,V,200000,,100,,,,,,
331,V,200000,,100,,,,,,
332,C,200000,10000,100,,,,,,
333,C,200000,10000,100,,,,,,
337,V,200000,,100,,,,,,
338,V,200000,,100,,,,,,
339,C,200000,10000,100,,,,,,
340,C,200000,10000,100,,,,,,
341,V,200000,,100,,,,,,
342,V,200000,,100,,,,,,
343,V,200000,,100,,,,,,
344,C,200000,10000,100,,,,,,
345,C,200000,10000,100,,,,,,
